"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"L3BUAKXF","conferencePaper","2024","Choi, Seowon; Song, Hae-Deok; Kang, Junsoo; Lee, Heewon; Hong, Ah Jeong","THE EFFECTS OF AI-ENHANCED ENGLISH PROJECT-BASED LEARNING ON MIDDLE SCHOOL STUDENTS' SPEAKING PERFORMANCE, AI LITERACY, AND SELF-EFFICACY","ICERI Proceedings","23401095","","10.21125/iceri.2024.2288","https://lens.org/002-324-551-728-473","","2024","2025-02-17 01:19:17","2025-02-17 01:19:17","","9085-9085","","","1","","","","","","","","IATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4SC8JEKW","journalArticle","2024","DiPaola, Daniella; Aidinoff, Marc; Marzilli, Angela; Berman, Ethan; Champigny, Michael; Gundy, Nate; Yezzi, Sarah; Breazeal, Cynthia","AI literacy as civic literacy: A case study of the ""AI and human rights"" curriculum for middle school students","First Monday","","13960466","10.5210/fm.v29i12.13869","https://lens.org/011-365-683-712-374","<jats:p>While the younger generation immerses itself in AI technologies, governmental bodies are at the initial stages of investigating the technology’s implications on our rights and how it will be best regulated. There is an opportunity to complement AI education with civic understanding. This work introduces the “AI and human rights” curriculum, which consists of seven lessons on human rights, how technology shapes our rights, and the Blueprint for an AI Bill of Rights. We summarize the experience of 50 middle school students who participated in a rights-based AI legislative simulation. Lastly, we will provide recommendations for how to engage youth in AI and human rights topics. We aim to share this work to raise awareness about the significance of AI literacy for youth citizenship while providing valuable guidance to educators and policy-makers seeking to implement similar initiatives.</jats:p>","2024-12-20","2025-02-17 01:19:17","2025-02-17 01:21:12","","","","","","","","","","","","","","","","","","","","","","Place: United States Publisher: University of Illinois Libraries","","/Users/des/Zotero/storage/52JPDP3Y/DiPaola et al. - 2024 - AI literacy as civic literacy A case study of the AI and human rights curriculum for middle schoo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LX2BWW5I","journalArticle","2024","Son, Yoorim; Kim, Juhyun; Ji, Kyunga","Design and Teaching Strategies for Artificial Intelligence Convergence Education to Protect Creative Autonomy: Focusing on the Middle School Art Class","Korean Association For Learner-Centered Curriculum And Instruction","","15982106","10.22251/jlcci.2024.24.6.311","https://lens.org/013-520-320-594-292","<jats:p>Objectives This study has developed teaching strategies that instructors can use to design and implement artificial intelligence convergence education utilizing generative artificial intelligence for image creation. The derived lesson designs and teaching strategies suggest a limited use of artificial intelligence to ensure that learners using generative AI do not lose their creative autonomy. Methods Through a review of prior literature, an initial checklist for class design and a teaching strategy were developed. Subsequently, two rounds of internal validation were conducted with four experts. A creative class utilizing image-generating artificial intelligence was then implemented for 100 first-year middle school students in Seoul. The effectiveness of this approach was evaluated through pre- and post-tests of artificial intelligence literacy and interviews with the learners. Results Ultimately, 10 items for the class design checklist and 51 items for the teaching strategy were developed. The class design checklist included steps for ‘checking the usage environment’, ‘evaluating the class content’, and ‘assessing expertise’. The teaching strategy was structured into stages of ‘class preparation’, ‘understanding image-generating artificial intelligence’, ‘creative problem-solving’, and ‘class arrangement’. As a result of implementing these creative classes with image-generating artificial intelligence, there was a significant improvement in the students’ artificial intelligence literacy. Furthermore, both instructors and learners highlighted several benefits of these classes, such as the integration of artificial intelligence with various subjects, the enhancement of divergent thinking, firsthand experience with artificial intelligence principles and applications, opportunities for collaboration and discussion, and a strengthened understanding of copyright and ethical considerations. Conclusions The instructional class design checklist and teaching strategy developed in this study serve as cross-curricular guidelines applicable to various subjects that involve image creation, including Korean language, history, and art. Designing artificial intelligence convergence lessons with a focus on protecting learner’s creative autonomy can enable them to grasp the entire creative process and its inherent value. This approach goes beyond mere technical use, empowering learners to enhance their own creative expressions. </jats:p>","2024-03-31","2025-02-17 01:19:17","2025-02-17 01:19:17","","311-331","","6","24","","","","","","","","","","","","","","","","","Publisher: Korean Association For Learner-Centered Curriculum And Instruction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WJQYPBIL","journalArticle","2024","Jung, You Jin; Lee, Kyung Won","Development of a Home Economics Education Program for the Consumer Life Area to Enhance Artificial Intelligence Literacy in Middle School Students","Human Ecology Research","","29825725","10.6115/her.2024.036","https://lens.org/029-614-976-624-886","<jats:p>This study aims to develop and validate a home economics education program focused on the consumer life area to enhance artificial intelligence (AI) literacy. To achieve this objective, a 10-session AI-consumer life integration education program was developed by analyzing literature on AI Literacy, AI curriculum, consumer education, and the home economics curriculum for the middle school consumer life area. The program’s validity was assessed by nine teachers using a four-point Likert scale. The average scores for each item and the content validity index (CVI) were calculated. Based on expert feedback, the program was revised and improved accordingly. The expert validity assessment of the lesson plans, teaching materials and learning resources resulted in an average score of 3.78 for all items and an average CVI of 0.96. For the overall program, the expert validity assessment yielded an average score of 3.72 for all items and an average CVI of 0.97. Since the content validity index for all questions was above 0.78, the program demonstrated high validity across achievement standards integration, learning objectives, content and teaching methods, motivation, and volume areas. This confirms its effectiveness as an educational program for enhancing AI literacy. This study is significant in terms of defining and identifying the components of AI literacy, developing an AI-integrated program encompassing the entire consumer life area and confirming the suitability of the home economics curriculum for enhancing digital consumer competencies and promoting sustainable consumption. Additionally, it highlights the potential to integrate AI into the home economics and consumer life area.</jats:p>","2024-08-01","2025-02-17 01:19:17","2025-02-17 01:21:25","","517-530","","3","62","","","","","","","","","","","","","","","","","Publisher: The Korean Home Economics Association","","; /Users/des/Zotero/storage/5YCZ2L97/Jung and Lee - 2024 - Development of a Home Economics Education Program for the Consumer Life Area to Enhance Artificial I.pdf; ","https://doi.org/10.6115/her.2024.036; http://her.re.kr/upload/pdf/her-62-3-517.pdf","Content Validity; AI convergence education; artificial intelligence literacy; consumer education; home economics education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24X3KNK2","journalArticle","2023","Wang, Xinyu; Li, Xiaomei; Huang, Jianyong","Junior High School Artificial Intelligence Literacy: Connotation, Evaluation and Promotion Strategy","Open Journal of Social Sciences","","23275952","10.4236/jss.2023.115004","https://lens.org/043-482-738-363-006","In the junior middle school of compulsory education in China, artificial intelligence courses are being rapidly promoted to help students form artificial intelligence literacy. Then, how to define the connotation of junior high school students' artificial intelligence literacy, build a literacy evaluation framework, and provide decision support for students' information literacy level improvement is an urgent topic to be studied at present. Based on this, this study deeply analyzes the development context and connotation of artificial intelligence literacy and information literacy, and defines the connotation of literacy with emphasis on the uniqueness and independence of artificial intelligence literacy. Based on this, we design the evaluation framework of artificial intelligence literacy in junior high schools, and evaluate the artificial intelligence literacy level of junior high school students in Qingdao Artificial Intelligence Education Experimental Zone, China. The evaluation results show that the overall level of students' artificial intelligence literacy is high, but the development in four dimensions is uneven. There are significant differences in artificial intelligence literacy among junior middle school students with different gender, grade, class frequency, task cooperation frequency, learning value and goal, and self-efficacy. Finally, according to the evaluation results, this study puts forward the corresponding strategies to improve the quality of artificial intelligence.","2023","2025-02-17 01:19:17","2025-02-17 01:21:43","","33-49","","5","11","","","","","","","","","","","","","","","","","Publisher: Scientific Research Publishing, Inc.","","; ; /Users/des/Zotero/storage/9LA94H4X/Wang et al. - 2023 - Junior High School Artificial Intelligence Literacy Connotation, Evaluation and Promotion Strategy.pdf","http://www.scirp.org/journal/PaperDownload.aspx?paperID=124826; https://doi.org/10.4236/jss.2023.115004","Connotation; Promotion (chess); Artificial Intelligence Literacy; Influencing Factor; Literacy Assessment; Questionnaire Survey; Students’ Literacy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V2HG2FZF","journalArticle","2023","Tseng, Ying Jui; Yadav, Gautam","ActiveAI: Introducing AI Literacy for Middle School Learners with Goal-based Scenario Learning","arXiv (Cornell University)","","","10.48550/arxiv.2309.12337","https://lens.org/054-934-019-990-090","The ActiveAI project addresses key challenges in AI education for grades 7-9 students by providing an engaging AI literacy learning experience based on the AI4K12 knowledge framework. Utilizing learning science mechanisms such as goal-based scenarios, immediate feedback, project-based learning, and intelligent agents, the app incorporates a variety of learner inputs like sliders, steppers, and collectors to enhance understanding. In these courses, students work on real-world scenarios like analyzing sentiment in social media comments. This helps them learn to effectively engage with AI systems and develop their ability to evaluate AI-generated output. The Learning Engineering Process (LEP) guided the project's creation and data instrumentation, focusing on design and impact. The project is currently in the implementation stage, leveraging the intelligent tutor design principles for app development. The extended abstract presents the foundational design and development, with further evaluation and research to be conducted in the future.","2023-01-01","2025-02-17 01:19:17","2025-02-17 01:19:17","","","","","","","","","","","","","","","","","","","","","","","","; /Users/des/Zotero/storage/7WX3NHDJ/Tseng and Yadav - 2023 - ActiveAI Introducing AI Literacy for Middle School Learners with Goal-based Scenario Learning.pdf","https://arxiv.org/abs/2309.12337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BXEYQSH9","journalArticle","2024","Zhang, Helen; Lee, Irene; Moore, Katherine","An Effectiveness Study of Teacher-Led AI Literacy Curriculum in K-12 Classrooms","Proceedings of the AAAI Conference on Artificial Intelligence","","23743468","10.1609/aaai.v38i21.30380","https://lens.org/059-663-902-482-597","<jats:p>Artificial intelligence (AI) has rapidly pervaded and reshaped almost all walks of life, but efforts to promote AI literacy in K-12 schools remain limited. There is a knowledge gap in how to prepare teachers to teach AI literacy in inclusive classrooms and how teacher-led classroom implementations can impact students. This paper reports a comparison study to investigate the effectiveness of an AI literacy curriculum when taught by classroom teachers. The experimental group included 89 middle school students who learned an AI literacy curriculum during regular school hours. The comparison group consisted of 69 students who did not learn the curriculum. Both groups completed the same pre and post-test. The results show that students in the experimental group developed a deeper understanding of AI concepts and more positive attitudes toward AI and its impact on future careers after the curriculum than those in the comparison group. This shows that the teacher-led classroom implementation successfully equipped students with a conceptual understanding of AI. Students achieved significant gains in recognizing how AI is relevant to their lives and felt empowered to thrive in the age of AI. Overall this study confirms the potential of preparing K-12 classroom teachers to offer AI education in classrooms in order to reach learners of diverse backgrounds and broaden participation in AI literacy education among young learners.</jats:p>","2024-03-24","2025-02-17 01:19:17","2025-02-17 01:21:56","","23318-23325","","21","38","","","","","","","","","","","","","","","","","Publisher: Association for the Advancement of Artificial Intelligence (AAAI)","","; ; /Users/des/Zotero/storage/LSZ38C9A/Zhang et al. - 2024 - An Effectiveness Study of Teacher-Led AI Literacy Curriculum in K-12 Classrooms.pdf","https://ojs.aaai.org/index.php/AAAI/article/download/30380/32443; https://doi.org/10.1609/aaai.v38i21.30380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8U8FL5GZ","journalArticle","2024","Chiu, Thomas K.F.; Ahmad, Zubair; Ismailov, Murod; Sanusi, Ismaila Temitayo","What are artificial intelligence literacy and competency? A comprehensive framework to support them","Computers and Education Open","","26665573","10.1016/j.caeo.2024.100171","https://lens.org/068-780-292-318-106","Artificial intelligence (AI) education in K–12 schools is a global initiative, yet planning and executing AI education is challenging. The major frameworks are focused on identifying content and technical knowledge (AI literacy). Most of the current definitions of AI literacy for a non-technical audience are developed from an engineering perspective and may not be appropriate for K–12 education. Teacher perspectives are essential to making sense of this initiative. Literacy is about knowing (knowledge, what skills); competency is about applying the knowledge in a beneficial way (confidence, how well). They are strongly related. This study goes beyond knowledge (AI literacy), and its two main goals are to (i) define AI literacy and competency by adding the aspects of confidence and self-reflective mindsets, and (ii) propose a more comprehensive framework for K–12 AI education. These definitions are needed for this emerging and disruptive technology (e.g., ChatGPT and Sora, generative AI). We used the definitions and the basic curriculum design approaches as the analytical framework and teacher perspectives. Participants included 30 experienced AI teachers from 15 middle schools. We employed an iterative co-design cycle to discuss and revise the framework throughout four cycles. The definition of AI competency has five abilities that take confidence into account, and the proposed framework comprises five key components: technology, impact, ethics, collaboration, and self-reflection. We also identify five effective learning experiences to foster abilities and confidences, and suggest five future research directions: prompt engineering, data literacy, algorithmic literacy, self-reflective mindset, and empirical research.","2024","2025-02-17 01:19:17","2025-02-17 01:21:08","","100171-100171","","","6","","","","","","","","","","","","","","","","","Publisher: Elsevier BV","","; ","http://qspace.qu.edu.qa/bitstream/10576/55957/1/1-s2.0-S2666557324000120-main%20%282%29.pdf; http://hdl.handle.net/10576/55957","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X5E2M29G","journalArticle","2022","Zhao, Leilei; Wu, Xiaofan; Luo, Heng","Developing AI Literacy for Primary and Middle School Teachers in China: Based on a Structural Equation Modeling Analysis","Sustainability","","20711050","10.3390/su142114549","https://lens.org/078-550-710-596-870","<jats:p>As smart technology promotes the development of various industries, artificial intelligence (AI) has also become an important driving force for innovation and transformation in education. For teachers, how to skillfully apply AI in teaching and improve their AI literacy has become a necessary goal for their sustainable professional development. This research examines the correlations among the dimensions of AI literacy of teachers in order to promote the effectiveness of class teaching and the adoption of artificial intelligence literacy (AIL). Our findings are based on the analysis of 1013 survey results, where we tested the level of AI literacy of teachers, including Knowing and Understanding AI (KUAI), Applying AI (AAI), Evaluating AI Application (EAIA), and AI Ethics (AIE). We find that AAI had a significant, positive effect on the other three dimensions. Thus, based on the analysis, the government should take action to cultivate teachers’ AI literacy. In order to improve teachers’ AI literacy, the choice of curriculum, content, methods, and practical resources for special training should be diverse and committed to making AI literacy an essential enabler for teachers’ sustainable future development.</jats:p>","2022-11-05","2025-02-17 01:19:18","2025-02-17 01:22:26","","14549-14549","","21","14","","","","","","","","","","","","","","","","","Place: Switzerland Publisher: MDPI AG","","; ; /Users/des/Zotero/storage/6YHUCRTH/Zhao et al. - 2022 - Developing AI Literacy for Primary and Middle School Teachers in China Based on a Structural Equati.pdf","https://www.mdpi.com/2071-1050/14/21/14549/pdf?version=1667901744; https://doi.org/10.3390/su142114549","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F9KJUHUR","journalArticle","2024","Kim, Hyunjung; Kim, Young Min","Development and effectiveness analysis of middle school invention education program using AI: Focusing on Chat GPT","Korean Technology Education Association","","15980839","10.34138/kjte.2024.24.1.131","https://lens.org/081-583-143-429-257","<jats:p>The purpose of this study is to develop and apply a middle school invention education program using Chat GPT, an interactive AI. To this end, we developed and applied an invention education program using Chat GPT, an interactive AI targeting middle school students, and compared and analyzed it with existing invention education programs. The conclusions of this study are as follows. First, we developed and applied an invention education program using AI with high validity targeting middle school students. Second, compared to existing invention education, the group that applied AI-based invention education used more diverse thinking techniques and came up with more diverse invention ideas. Third, the change in attitude toward invention improved in all groups, and the interest attitude and practical attitude factors improved more highly in the AI-based invention education group. Fourth, in the experimental group that applied the AI-based invention education program, students' artificial intelligence literacy improved. Fifth, in an environment of educational paradigm change that emphasizes digital literacy and AI, we were able to present a practical AI-utilized invention education program suitable for middle school settings.</jats:p>","2024-04-30","2025-02-17 01:19:18","2025-02-17 01:21:31","","131-151","","1","24","","","","","","","","","","","","","","","","","Publisher: Korean Technology Education Association","","","","AI(Artificial Intelligence); Chat GPT; Invention education; Middle School; Program; 발명교육; 인공지능; 중학교; 프로그램","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
