"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"L3BUAKXF","conferencePaper","2024","Choi, Seowon; Song, Hae-Deok; Kang, Junsoo; Lee, Heewon; Hong, Ah Jeong","THE EFFECTS OF AI-ENHANCED ENGLISH PROJECT-BASED LEARNING ON MIDDLE SCHOOL STUDENTS' SPEAKING PERFORMANCE, AI LITERACY, AND SELF-EFFICACY","ICERI Proceedings","23401095","","10.21125/iceri.2024.2288","https://lens.org/002-324-551-728-473","","2024","2025-02-17 01:19:17","2025-02-17 01:19:17","","9085-9085","","","1","","","","","","","","IATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"486G62JU","journalArticle","2023","Shim, Jae Young; Choi, Saeeun","A Case Study of the Use of Artificial Intelligence in a Problem-Based Learning Program for the Prevention of School Violence","Human Ecology Research","","29825725","10.6115/her.2023.002","https://lens.org/005-563-459-585-93X","<jats:p>The aim of this study was to develop, implement, and evaluate the use of Artificial Intelligence in the prevention of violence among middle-school students. The sample for this study consisted of 20 first-year middle-school students who participated in theme selection activities in a free semester program as part of their home economics studies. The data for the study consisted of nine class observation logs, four group activity outputs, 30 class results, an online survey, and in-depth interviews with three students. A program called “R.U.OK” was developed by setting problematic situation for school violence prevention linked to the contents of the Home Economics Education(HEE) curriculum. After the program was implemented, the survey on the students’ class satisfaction content elements, with AI-based learning activities and PBL and interest, displayed high points, with an average of 4.0 or higher. Our qualitative analysis produced four significant results. First, students’ concerns about school violence had increased and they showed a change in attitude, having more empathy with friends and more interest in their surroundings. Second, digital and AI literacy had improved, and students’ interest in digital media learning had increased. Third, there had been an improvement in problem-solving ability in terms of being able to think more critically and independently. Fourth, the results also demonstrated that there had been a positive effect on self-direction and an improved capacity for teamwork. This study was significant in demonstrating the effectiveness of a program for the prevention of school violence based on the use of digital technology in the educational environment.</jats:p>","2023-02-01","2025-02-17 01:19:17","2025-02-17 01:21:39","","15-28","","1","61","","","","","","","","","","","","","","","","","Publisher: The Korean Home Economics Association","","; ","https://doi.org/10.6115/her.2023.002; http://her.re.kr/upload/pdf/her-61-1-15.pdf","home economics education; artificial intelligence (AI); problem-based learning (PBL); school violence prevention education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZJN5SET","bookSection","2024","Ren, Fengmei; Luo, Ling","A Study on the Framework for Measuring Artificial Intelligence Literacy in Junior High School Students","Atlantis Highlights in Computer Sciences","27317900","","","https://lens.org/005-660-284-963-656","","2024-08-31","2025-02-17 01:19:17","2025-02-17 01:19:17","","624-631","","","","","","","","","","","Atlantis Press International BV","","","","","","","","","DOI: 10.2991/978-94-6463-502-7_65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4SC8JEKW","journalArticle","2024","DiPaola, Daniella; Aidinoff, Marc; Marzilli, Angela; Berman, Ethan; Champigny, Michael; Gundy, Nate; Yezzi, Sarah; Breazeal, Cynthia","AI literacy as civic literacy: A case study of the ""AI and human rights"" curriculum for middle school students","First Monday","","13960466","10.5210/fm.v29i12.13869","https://lens.org/011-365-683-712-374","<jats:p>While the younger generation immerses itself in AI technologies, governmental bodies are at the initial stages of investigating the technology’s implications on our rights and how it will be best regulated. There is an opportunity to complement AI education with civic understanding. This work introduces the “AI and human rights” curriculum, which consists of seven lessons on human rights, how technology shapes our rights, and the Blueprint for an AI Bill of Rights. We summarize the experience of 50 middle school students who participated in a rights-based AI legislative simulation. Lastly, we will provide recommendations for how to engage youth in AI and human rights topics. We aim to share this work to raise awareness about the significance of AI literacy for youth citizenship while providing valuable guidance to educators and policy-makers seeking to implement similar initiatives.</jats:p>","2024-12-20","2025-02-17 01:19:17","2025-02-17 01:21:12","","","","","","","","","","","","","","","","","","","","","","Place: United States Publisher: University of Illinois Libraries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LX2BWW5I","journalArticle","2024","Son, Yoorim; Kim, Juhyun; Ji, Kyunga","Design and Teaching Strategies for Artificial Intelligence Convergence Education to Protect Creative Autonomy: Focusing on the Middle School Art Class","Korean Association For Learner-Centered Curriculum And Instruction","","15982106","10.22251/jlcci.2024.24.6.311","https://lens.org/013-520-320-594-292","<jats:p>Objectives This study has developed teaching strategies that instructors can use to design and implement artificial intelligence convergence education utilizing generative artificial intelligence for image creation. The derived lesson designs and teaching strategies suggest a limited use of artificial intelligence to ensure that learners using generative AI do not lose their creative autonomy. Methods Through a review of prior literature, an initial checklist for class design and a teaching strategy were developed. Subsequently, two rounds of internal validation were conducted with four experts. A creative class utilizing image-generating artificial intelligence was then implemented for 100 first-year middle school students in Seoul. The effectiveness of this approach was evaluated through pre- and post-tests of artificial intelligence literacy and interviews with the learners. Results Ultimately, 10 items for the class design checklist and 51 items for the teaching strategy were developed. The class design checklist included steps for ‘checking the usage environment’, ‘evaluating the class content’, and ‘assessing expertise’. The teaching strategy was structured into stages of ‘class preparation’, ‘understanding image-generating artificial intelligence’, ‘creative problem-solving’, and ‘class arrangement’. As a result of implementing these creative classes with image-generating artificial intelligence, there was a significant improvement in the students’ artificial intelligence literacy. Furthermore, both instructors and learners highlighted several benefits of these classes, such as the integration of artificial intelligence with various subjects, the enhancement of divergent thinking, firsthand experience with artificial intelligence principles and applications, opportunities for collaboration and discussion, and a strengthened understanding of copyright and ethical considerations. Conclusions The instructional class design checklist and teaching strategy developed in this study serve as cross-curricular guidelines applicable to various subjects that involve image creation, including Korean language, history, and art. Designing artificial intelligence convergence lessons with a focus on protecting learner’s creative autonomy can enable them to grasp the entire creative process and its inherent value. This approach goes beyond mere technical use, empowering learners to enhance their own creative expressions. </jats:p>","2024-03-31","2025-02-17 01:19:17","2025-02-17 01:19:17","","311-331","","6","24","","","","","","","","","","","","","","","","","Publisher: Korean Association For Learner-Centered Curriculum And Instruction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CG66NT2K","journalArticle","2021","Eguchi, Amy; Okada, Hiroyuki; Muto, Yumiko","Contextualizing AI Education for K-12 Students to Enhance Their Learning of AI Literacy Through Culturally Responsive Approaches.","Kunstliche intelligenz","","16101987","10.1007/s13218-021-00737-3","https://lens.org/018-254-584-241-653","AI has become ubiquitous in our society, accelerated by the speed of the development of machine learning algorithms and voice and facial recognition technologies used in our everyday lives. Furthermore, AI-enhanced technologies and tools are no strangers in the field of education. It is more evident that it is important to prepare K-12 population of students for their future professions as well as citizens capable of understanding and utilizing AI-enhanced technologies in the future. In response to such needs, the authors started a collaborative project aiming to provide a K-12 AI curriculum for Japanese students. However, the authors soon realized that it is important to contextualize the learning experience for the targeted K-12 students. The paper aims at introducing the idea of contextualizing AI education and learning experience of K-12 students with examples and tips using the work-in-progress version of the contextualized curriculum using culturally responsive approaches to promote the awareness and understanding of AI ethics among middle school students.","2021-08-06","2025-02-17 01:19:17","2025-02-17 01:21:21","","153-161","","2","35","","","","","","","","","","","","","","","","","Place: Germany","","; ; ; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8342268; https://doi.org/10.1007/s13218-021-00737-3; https://link.springer.com/article/10.1007%2Fs13218-021-00737-3; https://link.springer.com/content/pdf/10.1007/s13218-021-00737-3.pdf","AI literacy; Contextualization; Cultural context; Culturally responsive pedagogy; K-12 AI education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQHTNCHK","journalArticle","2023","Hutchins, Nicole M.; Biswas, Gautam","Co‐designing teacher support technology for problem‐based learning in middle school science","British Journal of Educational Technology","","00071013","10.1111/bjet.13363","https://lens.org/027-011-253-078-791","<jats:title>Abstract</jats:title><jats:sec><jats:label /><jats:p>This paper provides an experience report on a co‐design approach with teachers to co‐create learning analytics‐based technology to support problem‐based learning in middle school science classrooms. We have mapped out a workflow for such applications and developed design narratives to investigate the implementation, modifications and temporal roles of the participants in the design process. Our results provide precedent knowledge on co‐designing with experienced and novice teachers and co‐constructing actionable insight that can help teachers engage more effectively with their students' learning and problem‐solving processes during classroom PBL implementations.</jats:p></jats:sec><jats:sec><jats:label /><jats:p> <jats:boxed-text content-type=""box"" position=""anchor""><jats:caption><jats:title>Practitioner notes</jats:title></jats:caption><jats:p>What is already known about this topic <jats:list list-type=""bullet""> <jats:list-item><jats:p>Success of educational technology depends in large part on the technology's alignment with teachers' goals for their students, teaching strategies and classroom context.</jats:p></jats:list-item> <jats:list-item><jats:p>Teacher and researcher co‐design of educational technology and supporting curricula has proven to be an effective way for integrating teacher insight and supporting their implementation needs.</jats:p></jats:list-item> <jats:list-item><jats:p>Co‐designing learning analytics and support technologies with teachers is difficult due to differences in design and development goals, workplace norms, and AI‐literacy and learning analytics background of teachers.</jats:p></jats:list-item> </jats:list></jats:p><jats:p>What this paper adds <jats:list list-type=""bullet""> <jats:list-item><jats:p>We provide a co‐design workflow for middle school teachers that centres on co‐designing and developing actionable insights to support problem‐based learning (PBL) by systematic development of responsive teaching practices using AI‐generated learning analytics.</jats:p></jats:list-item> <jats:list-item><jats:p>We adapt established human‐computer interaction (HCI) methods to tackle the complex task of classroom PBL implementation, working with experienced and novice teachers to create a learning analytics dashboard for a PBL curriculum.</jats:p></jats:list-item> <jats:list-item><jats:p>We demonstrate researcher and teacher roles and needs in ensuring co‐design collaboration and the co‐construction of actionable insight to support middle school PBL.</jats:p></jats:list-item> </jats:list></jats:p><jats:p>Implications for practice and/or policy <jats:list list-type=""bullet""> <jats:list-item><jats:p>Learning analytics researchers will be able to use the workflow as a tool to support their PBL co‐design processes.</jats:p></jats:list-item> <jats:list-item><jats:p>Learning analytics researchers will be able to apply adapted HCI methods for effective co‐design processes.</jats:p></jats:list-item> <jats:list-item><jats:p>Co‐design teams will be able to pre‐emptively prepare for the difficulties and needs of teachers when integrating middle school teacher feedback during the co‐design process in support of PBL technologies.</jats:p></jats:list-item> </jats:list></jats:p></jats:boxed-text> </jats:p></jats:sec>","2023-07-25","2025-02-17 01:19:17","2025-02-17 01:21:24","","802-822","","3","55","","","","","","","","","","","","","","","","","Place: United Kingdom Publisher: Wiley","","; ","https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1111/bjet.13363; https://doi.org/10.1111/bjet.13363","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WJQYPBIL","journalArticle","2024","Jung, You Jin; Lee, Kyung Won","Development of a Home Economics Education Program for the Consumer Life Area to Enhance Artificial Intelligence Literacy in Middle School Students","Human Ecology Research","","29825725","10.6115/her.2024.036","https://lens.org/029-614-976-624-886","<jats:p>This study aims to develop and validate a home economics education program focused on the consumer life area to enhance artificial intelligence (AI) literacy. To achieve this objective, a 10-session AI-consumer life integration education program was developed by analyzing literature on AI Literacy, AI curriculum, consumer education, and the home economics curriculum for the middle school consumer life area. The program’s validity was assessed by nine teachers using a four-point Likert scale. The average scores for each item and the content validity index (CVI) were calculated. Based on expert feedback, the program was revised and improved accordingly. The expert validity assessment of the lesson plans, teaching materials and learning resources resulted in an average score of 3.78 for all items and an average CVI of 0.96. For the overall program, the expert validity assessment yielded an average score of 3.72 for all items and an average CVI of 0.97. Since the content validity index for all questions was above 0.78, the program demonstrated high validity across achievement standards integration, learning objectives, content and teaching methods, motivation, and volume areas. This confirms its effectiveness as an educational program for enhancing AI literacy. This study is significant in terms of defining and identifying the components of AI literacy, developing an AI-integrated program encompassing the entire consumer life area and confirming the suitability of the home economics curriculum for enhancing digital consumer competencies and promoting sustainable consumption. Additionally, it highlights the potential to integrate AI into the home economics and consumer life area.</jats:p>","2024-08-01","2025-02-17 01:19:17","2025-02-17 01:21:25","","517-530","","3","62","","","","","","","","","","","","","","","","","Publisher: The Korean Home Economics Association","","; ","https://doi.org/10.6115/her.2024.036; http://her.re.kr/upload/pdf/her-62-3-517.pdf","Content Validity; AI convergence education; artificial intelligence literacy; consumer education; home economics education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AHI8AVMZ","journalArticle","2022","Pearce, Kate; Alghowinem, Sharifa; Breazeal, Cynthia","Build-a-Bot: Teaching Conversational AI Using a Transformer-Based Intent Recognition and Question Answering Architecture","arXiv (Cornell University)","","","10.48550/arxiv.2212.07542","https://lens.org/036-660-299-547-190","As artificial intelligence (AI) becomes a prominent part of modern life, AI literacy is becoming important for all citizens, not just those in technology careers. Previous research in AI education materials has largely focused on the introduction of terminology as well as AI use cases and ethics, but few allow students to learn by creating their own machine learning models. Therefore, there is a need for enriching AI educational tools with more adaptable and flexible platforms for interested educators with any level of technical experience to utilize within their teaching material. As such, we propose the development of an open-source tool (Build-a-Bot) for students and teachers to not only create their own transformer-based chatbots based on their own course material, but also learn the fundamentals of AI through the model creation process. The primary concern of this paper is the creation of an interface for students to learn the principles of artificial intelligence by using a natural language pipeline to train a customized model to answer questions based on their own school curriculums. The model uses contexts given by their instructor, such as chapters of a textbook, to answer questions and is deployed on an interactive chatbot/voice agent. The pipeline teaches students data collection, data augmentation, intent recognition, and question answering by having them work through each of these processes while creating their AI agent, diverging from previous chatbot work where students and teachers use the bots as black-boxes with no abilities for customization or the bots lack AI capabilities, with the majority of dialogue scripts being rule-based. In addition, our tool is designed to make each step of this pipeline intuitive for students at a middle-school level. Further work primarily lies in providing our tool to schools and seeking student and teacher evaluations.","2022-01-01","2025-02-17 01:19:17","2025-02-17 01:19:17","","","","","","","","","","","","","","","","","","","","","","","","","https://arxiv.org/abs/2212.07542","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24X3KNK2","journalArticle","2023","Wang, Xinyu; Li, Xiaomei; Huang, Jianyong","Junior High School Artificial Intelligence Literacy: Connotation, Evaluation and Promotion Strategy","Open Journal of Social Sciences","","23275952","10.4236/jss.2023.115004","https://lens.org/043-482-738-363-006","In the junior middle school of compulsory education in China, artificial intelligence courses are being rapidly promoted to help students form artificial intelligence literacy. Then, how to define the connotation of junior high school students' artificial intelligence literacy, build a literacy evaluation framework, and provide decision support for students' information literacy level improvement is an urgent topic to be studied at present. Based on this, this study deeply analyzes the development context and connotation of artificial intelligence literacy and information literacy, and defines the connotation of literacy with emphasis on the uniqueness and independence of artificial intelligence literacy. Based on this, we design the evaluation framework of artificial intelligence literacy in junior high schools, and evaluate the artificial intelligence literacy level of junior high school students in Qingdao Artificial Intelligence Education Experimental Zone, China. The evaluation results show that the overall level of students' artificial intelligence literacy is high, but the development in four dimensions is uneven. There are significant differences in artificial intelligence literacy among junior middle school students with different gender, grade, class frequency, task cooperation frequency, learning value and goal, and self-efficacy. Finally, according to the evaluation results, this study puts forward the corresponding strategies to improve the quality of artificial intelligence.","2023","2025-02-17 01:19:17","2025-02-17 01:21:43","","33-49","","5","11","","","","","","","","","","","","","","","","","Publisher: Scientific Research Publishing, Inc.","","; ","http://www.scirp.org/journal/PaperDownload.aspx?paperID=124826; https://doi.org/10.4236/jss.2023.115004","Connotation; Promotion (chess); Artificial Intelligence Literacy; Influencing Factor; Literacy Assessment; Questionnaire Survey; Students’ Literacy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
