Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
002-324-551-728-473,"THE EFFECTS OF AI-ENHANCED ENGLISH PROJECT-BASED LEARNING ON MIDDLE SCHOOL STUDENTS' SPEAKING PERFORMANCE, AI LITERACY, AND SELF-EFFICACY",,2024,conference proceedings article,ICERI Proceedings,23401095; 23401109,IATED,,Seowon Choi; Hae-Deok Song; Junsoo Kang; Heewon Lee; Ah Jeong Hong,,1,,9085,9085,Computer science; Mathematics education; Literacy; Self-efficacy; Artificial intelligence; Psychology; Pedagogy; Social psychology,,,,,,http://dx.doi.org/10.21125/iceri.2024.2288,,10.21125/iceri.2024.2288,,,0,,0,false,,
005-563-459-585-93X,A Case Study of the Use of Artificial Intelligence in a Problem-Based Learning Program for the Prevention of School Violence,2023-02-01,2023,journal article,Human Ecology Research,29825725; 29826608,The Korean Home Economics Association,,Jae Young Shim; Saeeun Choi,"<jats:p>The aim of this study was to develop, implement, and evaluate the use of Artificial Intelligence in the prevention of violence among middle-school students. The sample for this study consisted of 20 first-year middle-school students who participated in theme selection activities in a free semester program as part of their home economics studies. The data for the study consisted of nine class observation logs, four group activity outputs, 30 class results, an online survey, and in-depth interviews with three students. A program called “R.U.OK” was developed by setting problematic situation for school violence prevention linked to the contents of the Home Economics Education(HEE) curriculum. After the program was implemented, the survey on the students’ class satisfaction content elements, with AI-based learning activities and PBL and interest, displayed high points, with an average of 4.0 or higher. Our qualitative analysis produced four significant results. First, students’ concerns about school violence had increased and they showed a change in attitude, having more empathy with friends and more interest in their surroundings. Second, digital and AI literacy had improved, and students’ interest in digital media learning had increased. Third, there had been an improvement in problem-solving ability in terms of being able to think more critically and independently. Fourth, the results also demonstrated that there had been a positive effect on self-direction and an improved capacity for teamwork. This study was significant in demonstrating the effectiveness of a program for the prevention of school violence based on the use of digital technology in the educational environment.</jats:p>",61,1,15,28,Curriculum; Teamwork; Empathy; Psychology; Mathematics education; Class (philosophy); Medical education; Pedagogy; Social psychology; Medicine; Computer science; Artificial intelligence; Political science; Law,,,,,http://her.re.kr/upload/pdf/her-61-1-15.pdf https://doi.org/10.6115/her.2023.002,http://dx.doi.org/10.6115/her.2023.002,,10.6115/her.2023.002,,,0,021-942-731-472-652; 029-863-669-255-571; 056-583-178-402-816; 067-298-580-764-029; 068-087-645-164-320; 077-148-600-848-473; 112-203-532-506-40X; 125-384-038-213-166; 183-952-650-964-173,2,true,,bronze
005-660-284-963-656,A Study on the Framework for Measuring Artificial Intelligence Literacy in Junior High School Students,2024-08-31,2024,book chapter,Atlantis Highlights in Computer Sciences,27317900; 25894900,Atlantis Press International BV,,Fengmei Ren; Ling Luo,,,,624,631,Mathematics education; Literacy; Psychology; Computer science; Pedagogy,,,,,,http://dx.doi.org/10.2991/978-94-6463-502-7_65,,10.2991/978-94-6463-502-7_65,,,0,,0,true,cc-by-nc,hybrid
011-365-683-712-374,"AI literacy as civic literacy: A case study of the ""AI and human rights"" curriculum for middle school students",2024-12-20,2024,journal article,First Monday,13960466; 13960458,University of Illinois Libraries,United States,Daniella DiPaola; Marc Aidinoff; Angela Marzilli; Ethan Berman; Michael Champigny; Nate Gundy; Sarah Yezzi; Cynthia Breazeal,"<jats:p>While the younger generation immerses itself in AI technologies, governmental bodies are at the initial stages of investigating the technology’s implications on our rights and how it will be best regulated. There is an opportunity to complement AI education with civic understanding. This work introduces the “AI and human rights” curriculum, which consists of seven lessons on human rights, how technology shapes our rights, and the Blueprint for an AI Bill of Rights. We summarize the experience of 50 middle school students who participated in a rights-based AI legislative simulation. Lastly, we will provide recommendations for how to engage youth in AI and human rights topics. We aim to share this work to raise awareness about the significance of AI literacy for youth citizenship while providing valuable guidance to educators and policy-makers seeking to implement similar initiatives.</jats:p>",,,,,Literacy; Curriculum; Information literacy; Media literacy; Mathematics education; Human rights; Pedagogy; Political science; Sociology; Psychology; Law,,,,,,http://dx.doi.org/10.5210/fm.v29i12.13869,,10.5210/fm.v29i12.13869,,,0,,0,false,,
013-520-320-594-292,Design and Teaching Strategies for Artificial Intelligence Convergence Education to Protect Creative Autonomy: Focusing on the Middle School Art Class,2024-03-31,2024,journal article,Korean Association For Learner-Centered Curriculum And Instruction,15982106; 2671776x,Korean Association For Learner-Centered Curriculum And Instruction,,Yoorim Son; Juhyun Kim; Kyunga Ji,"<jats:p>Objectives This study has developed teaching strategies that instructors can use to design and implement artificial intelligence convergence education utilizing generative artificial intelligence for image creation. The derived lesson designs and teaching strategies suggest a limited use of artificial intelligence to ensure that learners using generative AI do not lose their creative autonomy.; Methods Through a review of prior literature, an initial checklist for class design and a teaching strategy were developed. Subsequently, two rounds of internal validation were conducted with four experts. A creative class utilizing image-generating artificial intelligence was then implemented for 100 first-year middle school students in Seoul. The effectiveness of this approach was evaluated through pre- and post-tests of artificial intelligence literacy and interviews with the learners.; Results Ultimately, 10 items for the class design checklist and 51 items for the teaching strategy were developed. The class design checklist included steps for ‘checking the usage environment’, ‘evaluating the class content’, and ‘assessing expertise’. The teaching strategy was structured into stages of ‘class preparation’, ‘understanding image-generating artificial intelligence’, ‘creative problem-solving’, and ‘class arrangement’. As a result of implementing these creative classes with image-generating artificial intelligence, there was a significant improvement in the students’ artificial intelligence literacy. Furthermore, both instructors and learners highlighted several benefits of these classes, such as the integration of artificial intelligence with various subjects, the enhancement of divergent thinking, firsthand experience with artificial intelligence principles and applications, opportunities for collaboration and discussion, and a strengthened understanding of copyright and ethical considerations.; Conclusions The instructional class design checklist and teaching strategy developed in this study serve as cross-curricular guidelines applicable to various subjects that involve image creation, including Korean language, history, and art. Designing artificial intelligence convergence lessons with a focus on protecting learner’s creative autonomy can enable them to grasp the entire creative process and its inherent value. This approach goes beyond mere technical use, empowering learners to enhance their own creative expressions.; </jats:p>",24,6,311,331,Autonomy; Convergence (economics); Class (philosophy); Mathematics education; Middle class; Pedagogy; Psychology; Computer science; Sociology; Artificial intelligence; Political science; Law; Economics; Economic growth,,,,,,http://dx.doi.org/10.22251/jlcci.2024.24.6.311,,10.22251/jlcci.2024.24.6.311,,,0,,0,false,,
018-254-584-241-653,Contextualizing AI Education for K-12 Students to Enhance Their Learning of AI Literacy Through Culturally Responsive Approaches.,2021-08-06,2021,journal article,Kunstliche intelligenz,16101987; 09331875,,Germany,Amy Eguchi; Hiroyuki Okada; Yumiko Muto,"AI has become ubiquitous in our society, accelerated by the speed of the development of machine learning algorithms and voice and facial recognition technologies used in our everyday lives. Furthermore, AI-enhanced technologies and tools are no strangers in the field of education. It is more evident that it is important to prepare K-12 population of students for their future professions as well as citizens capable of understanding and utilizing AI-enhanced technologies in the future. In response to such needs, the authors started a collaborative project aiming to provide a K-12 AI curriculum for Japanese students. However, the authors soon realized that it is important to contextualize the learning experience for the targeted K-12 students. The paper aims at introducing the idea of contextualizing AI education and learning experience of K-12 students with examples and tips using the work-in-progress version of the contextualized curriculum using culturally responsive approaches to promote the awareness and understanding of AI ethics among middle school students.",35,2,153,161,Psychology; Pedagogy; Contextualization; Population; Ai education; Learning experience; Ai ethics; Culturally responsive; Curriculum; Literacy,AI literacy; Contextualization; Cultural context; Culturally responsive pedagogy; K-12 AI education,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8342268 https://doi.org/10.1007/s13218-021-00737-3 https://link.springer.com/article/10.1007%2Fs13218-021-00737-3 https://link.springer.com/content/pdf/10.1007/s13218-021-00737-3.pdf,http://dx.doi.org/10.1007/s13218-021-00737-3,34376922,10.1007/s13218-021-00737-3,3189788947,PMC8342268,0,018-284-406-875-730; 027-706-750-147-402; 030-291-273-786-784; 049-524-645-690-658; 050-772-781-858-783; 054-053-370-846-651; 058-175-182-970-373; 072-374-147-895-768; 076-275-216-052-847; 108-090-950-889-64X; 118-039-867-353-034; 149-420-472-252-383; 159-998-257-519-704,69,true,,green
027-011-253-078-791,Co‐designing teacher support technology for problem‐based learning in middle school science,2023-07-25,2023,journal article,British Journal of Educational Technology,00071013; 14678535,Wiley,United Kingdom,Nicole M. Hutchins; Gautam Biswas,"<jats:title>Abstract</jats:title><jats:sec><jats:label /><jats:p>This paper provides an experience report on a co‐design approach with teachers to co‐create learning analytics‐based technology to support problem‐based learning in middle school science classrooms. We have mapped out a workflow for such applications and developed design narratives to investigate the implementation, modifications and temporal roles of the participants in the design process. Our results provide precedent knowledge on co‐designing with experienced and novice teachers and co‐constructing actionable insight that can help teachers engage more effectively with their students' learning and problem‐solving processes during classroom PBL implementations.</jats:p></jats:sec><jats:sec><jats:label /><jats:p>; <jats:boxed-text content-type=""box"" position=""anchor""><jats:caption><jats:title>Practitioner notes</jats:title></jats:caption><jats:p>What is already known about this topic; <jats:list list-type=""bullet"">; <jats:list-item><jats:p>Success of educational technology depends in large part on the technology's alignment with teachers' goals for their students, teaching strategies and classroom context.</jats:p></jats:list-item>; <jats:list-item><jats:p>Teacher and researcher co‐design of educational technology and supporting curricula has proven to be an effective way for integrating teacher insight and supporting their implementation needs.</jats:p></jats:list-item>; <jats:list-item><jats:p>Co‐designing learning analytics and support technologies with teachers is difficult due to differences in design and development goals, workplace norms, and AI‐literacy and learning analytics background of teachers.</jats:p></jats:list-item>; </jats:list></jats:p><jats:p>What this paper adds; <jats:list list-type=""bullet"">; <jats:list-item><jats:p>We provide a co‐design workflow for middle school teachers that centres on co‐designing and developing actionable insights to support problem‐based learning (PBL) by systematic development of responsive teaching practices using AI‐generated learning analytics.</jats:p></jats:list-item>; <jats:list-item><jats:p>We adapt established human‐computer interaction (HCI) methods to tackle the complex task of classroom PBL implementation, working with experienced and novice teachers to create a learning analytics dashboard for a PBL curriculum.</jats:p></jats:list-item>; <jats:list-item><jats:p>We demonstrate researcher and teacher roles and needs in ensuring co‐design collaboration and the co‐construction of actionable insight to support middle school PBL.</jats:p></jats:list-item>; </jats:list></jats:p><jats:p>Implications for practice and/or policy; <jats:list list-type=""bullet"">; <jats:list-item><jats:p>Learning analytics researchers will be able to use the workflow as a tool to support their PBL co‐design processes.</jats:p></jats:list-item>; <jats:list-item><jats:p>Learning analytics researchers will be able to apply adapted HCI methods for effective co‐design processes.</jats:p></jats:list-item>; <jats:list-item><jats:p>Co‐design teams will be able to pre‐emptively prepare for the difficulties and needs of teachers when integrating middle school teacher feedback during the co‐design process in support of PBL technologies.</jats:p></jats:list-item>; </jats:list></jats:p></jats:boxed-text>; </jats:p></jats:sec>",55,3,802,822,Learning analytics; Workflow; Analytics; Curriculum; Computer science; Context (archaeology); Instructional design; Educational technology; Dashboard; Problem-based learning; Professional development; Mathematics education; Knowledge management; Pedagogy; Psychology; Data science; Multimedia; Paleontology; Database; Biology,,,,National Science Foundation,https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1111/bjet.13363 https://doi.org/10.1111/bjet.13363,http://dx.doi.org/10.1111/bjet.13363,,10.1111/bjet.13363,,,0,004-789-661-831-108; 006-075-728-131-746; 010-207-521-886-232; 013-862-797-971-251; 016-210-005-968-27X; 016-739-829-268-225; 017-110-396-784-90X; 019-634-927-804-464; 020-870-807-232-246; 022-401-186-170-230; 026-983-580-224-426; 031-399-010-142-670; 034-476-070-261-685; 035-410-977-145-919; 042-473-460-738-780; 043-138-915-996-777; 049-511-371-887-177; 050-861-176-951-845; 055-529-713-684-525; 057-911-623-501-668; 061-887-787-747-485; 064-022-401-830-62X; 076-363-296-124-803; 077-335-023-486-612; 084-744-285-906-761; 107-976-249-562-610; 127-729-219-024-309; 130-059-971-798-036; 141-422-661-920-895; 156-122-030-723-334; 172-165-878-290-775,4,true,publisher-specific-oa,bronze
029-614-976-624-886,Development of a Home Economics Education Program for the Consumer Life Area to Enhance Artificial Intelligence Literacy in Middle School Students,2024-08-01,2024,journal article,Human Ecology Research,29825725; 29826608,The Korean Home Economics Association,,You Jin Jung; Kyung Won Lee,"<jats:p>This study aims to develop and validate a home economics education program focused on the consumer life area to enhance artificial intelligence (AI) literacy. To achieve this objective, a 10-session AI-consumer life integration education program was developed by analyzing literature on AI Literacy, AI curriculum, consumer education, and the home economics curriculum for the middle school consumer life area. The program’s validity was assessed by nine teachers using a four-point Likert scale. The average scores for each item and the content validity index (CVI) were calculated. Based on expert feedback, the program was revised and improved accordingly. The expert validity assessment of the lesson plans, teaching materials and learning resources resulted in an average score of 3.78 for all items and an average CVI of 0.96. For the overall program, the expert validity assessment yielded an average score of 3.72 for all items and an average CVI of 0.97. Since the content validity index for all questions was above 0.78, the program demonstrated high validity across achievement standards integration, learning objectives, content and teaching methods, motivation, and volume areas. This confirms its effectiveness as an educational program for enhancing AI literacy. This study is significant in terms of defining and identifying the components of AI literacy, developing an AI-integrated program encompassing the entire consumer life area and confirming the suitability of the home economics curriculum for enhancing digital consumer competencies and promoting sustainable consumption. Additionally, it highlights the potential to integrate AI into the home economics and consumer life area.</jats:p>",62,3,517,530,Curriculum; Content validity; Likert scale; Literacy; Index (typography); Scale (ratio); Economics education; Psychology; Mathematics education; Medical education; Computer science; Pedagogy; Primary education; Psychometrics; Medicine; Clinical psychology; Developmental psychology; Physics; Quantum mechanics; World Wide Web,,,,,http://her.re.kr/upload/pdf/her-62-3-517.pdf https://doi.org/10.6115/her.2024.036,http://dx.doi.org/10.6115/her.2024.036,,10.6115/her.2024.036,,,0,005-563-459-585-93X; 035-242-082-736-742; 076-061-637-954-001; 089-765-289-046-150; 100-190-966-889-158; 122-189-815-489-034,0,true,,bronze
036-660-299-547-190,Build-a-Bot: Teaching Conversational AI Using a Transformer-Based Intent Recognition and Question Answering Architecture,2022-01-01,2022,preprint,arXiv (Cornell University),,,,Kate Pearce; Sharifa Alghowinem; Cynthia Breazeal,"As artificial intelligence (AI) becomes a prominent part of modern life, AI literacy is becoming important for all citizens, not just those in technology careers. Previous research in AI education materials has largely focused on the introduction of terminology as well as AI use cases and ethics, but few allow students to learn by creating their own machine learning models. Therefore, there is a need for enriching AI educational tools with more adaptable and flexible platforms for interested educators with any level of technical experience to utilize within their teaching material. As such, we propose the development of an open-source tool (Build-a-Bot) for students and teachers to not only create their own transformer-based chatbots based on their own course material, but also learn the fundamentals of AI through the model creation process. The primary concern of this paper is the creation of an interface for students to learn the principles of artificial intelligence by using a natural language pipeline to train a customized model to answer questions based on their own school curriculums. The model uses contexts given by their instructor, such as chapters of a textbook, to answer questions and is deployed on an interactive chatbot/voice agent. The pipeline teaches students data collection, data augmentation, intent recognition, and question answering by having them work through each of these processes while creating their AI agent, diverging from previous chatbot work where students and teachers use the bots as black-boxes with no abilities for customization or the bots lack AI capabilities, with the majority of dialogue scripts being rule-based. In addition, our tool is designed to make each step of this pipeline intuitive for students at a middle-school level. Further work primarily lies in providing our tool to schools and seeking student and teacher evaluations.",,,,,Chatbot; Computer science; Question answering; Personalization; Terminology; Artificial intelligence; Architecture; Process (computing); Curriculum; World Wide Web; Pedagogy; Psychology; Philosophy; Linguistics; Art; Visual arts; Operating system,,,,,https://arxiv.org/abs/2212.07542,http://dx.doi.org/10.48550/arxiv.2212.07542,,10.48550/arxiv.2212.07542,,,0,,0,true,cc-by,green
043-482-738-363-006,"Junior High School Artificial Intelligence Literacy: Connotation, Evaluation and Promotion Strategy",,2023,journal article,Open Journal of Social Sciences,23275952; 23275960,"Scientific Research Publishing, Inc.",,Xinyu Wang; Xiaomei Li; Jianyong Huang,"In the junior middle school of compulsory education in China, artificial intelligence courses are being rapidly promoted to help students form artificial intelligence literacy. Then, how to define the connotation of junior high school students' artificial intelligence literacy, build a literacy evaluation framework, and provide decision support for students' information literacy level improvement is an urgent topic to be studied at present. Based on this, this study deeply analyzes the development context and connotation of artificial intelligence literacy and information literacy, and defines the connotation of literacy with emphasis on the uniqueness and independence of artificial intelligence literacy. Based on this, we design the evaluation framework of artificial intelligence literacy in junior high schools, and evaluate the artificial intelligence literacy level of junior high school students in Qingdao Artificial Intelligence Education Experimental Zone, China. The evaluation results show that the overall level of students' artificial intelligence literacy is high, but the development in four dimensions is uneven. There are significant differences in artificial intelligence literacy among junior middle school students with different gender, grade, class frequency, task cooperation frequency, learning value and goal, and self-efficacy. Finally, according to the evaluation results, this study puts forward the corresponding strategies to improve the quality of artificial intelligence.",11,5,33,49,Connotation; Literacy; Mathematics education; Promotion (chess); Artificial intelligence; Psychology; Computer science; Pedagogy; Political science; Philosophy; Linguistics; Politics; Law,,,,,http://www.scirp.org/journal/PaperDownload.aspx?paperID=124826 https://doi.org/10.4236/jss.2023.115004,http://dx.doi.org/10.4236/jss.2023.115004,,10.4236/jss.2023.115004,,,0,018-254-584-241-653; 079-479-635-468-795; 094-945-737-281-939,4,true,,gold
