Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"Amy Eguchi","AI-Robotics and AI Literacy",2021,"","","https://www.semanticscholar.org/paper/996540f35f6a3d9b029852e94bc4116aff3af6ef","",18,"2025-02-19 09:41:39","","10.1007/978-3-030-77022-8_7","","",,,75,85,3,0.75,3,1,4,"","",""
13,"D. Long, Sophie Rollins, Jasmin Ali-Diaz, Katherine Hancock, Samnang Nuonsinoeun, Jessica Roberts, Brian Magerko","Fostering AI Literacy with Embodiment & Creativity: From Activity Boxes to Museum Exhibits",2023,"Proceedings of the 22nd Annual ACM Interaction Design and Children Conference","","https://www.semanticscholar.org/paper/315b81be31deff29654ac3e7d8bae6c90808c0e6","",10,"2025-02-19 09:41:39","Book","10.1145/3585088.3594495","","",,,,,13,6.50,2,7,2,"Fostering young learners’ literacy surrounding AI technologies is becoming increasingly important as AI is becoming integrated in many aspects of our lives and is having far-reaching impacts on society. We have developed Knowledge Net and Creature Features, two activity boxes for family groups to engage with in their homes that communicate AI literacy competencies such as understanding knowledge representations, the steps of machine learning, and AI ethics. Our current work is exploring how to transform these activity boxes into museum exhibits for middle-school age learners, focusing on three key considerations: centering learner interests, generating personally meaningful outputs, and incorporating embodiment and collaboration on a larger scale. Our demonstration will feature the existing Knowledge Net and Creature Features activity boxes alongside early-stage prototypes adapting these activities into larger-scale museum exhibits. This paper contributes an exploration into how to design AI literacy learning interventions for varied informal learning contexts.","",""
6,"Daniella DiPaola, K. S. Moore, Safinah Ali, Beatriz Perret, Xiaofei Zhou, Helen Zhang, Irene A. Lee","Make-a-Thon for Middle School AI Educators",2023,"Proceedings of the 54th ACM Technical Symposium on Computer Science Education V. 1","","https://www.semanticscholar.org/paper/fc223d4b47dcb4f9b0129caebe9009775bcf28a3","",11,"2025-02-19 09:41:39","Book","10.1145/3545945.3569743","","",,,,,6,3.00,1,7,2,"AI curricula are being developed and tested in classrooms, but wider adoption is premised by teacher professional development and buy-in. When engaging in professional development, curricula are treated as set in stone, static and educators are prepared to offer the curriculum as written instead of empowered to be leaders in efforts to spread and sustain AI education. This limits the degree to which teachers tailor new curricula to student needs and interests, ultimately distancing students from new and potentially relevant content. This paper describes an AI Educator Make-a-Thon, a two-day gathering of 34 educators from across the United States that centered co-design of AI literacy materials as the culminating experience of a year-long professional development program called Everyday AI (EdAI) in which educators studied and practiced implementing an innovative curriculum for Developing AI Literacy (DAILy) in their classrooms. Inspired by the energizing and empowering experiences of Hack-a-Thons, the Make-a-Thon was designed to increase the depth and longevity of the educators' investment in AI education by positively impacting their sense of belonging to the AI community, AI content knowledge, and their self confidence as AI curriculum designers. In this paper we describe the Make-a-Thon design, findings, and recommendations for future educator-centered Make-a-Thons.","https://dl.acm.org/doi/pdf/10.1145/3545945.3569743",""
3,"Xiaofei Zhou, Yushan Zhou, Yunfan Gong, Zhenyao Cai, Annie Qiu, Qinqin Xiao, A. Antle, Zhen Bai","""Bee and I need diversity!"" Break Filter Bubbles in Recommendation Systems through Embodied AI Learning",2024,"Proceedings of the 23rd Annual ACM Interaction Design and Children Conference","","https://www.semanticscholar.org/paper/3243646ff702614c4f976bca68d5152b6165a8d3","",19,"2025-02-19 09:41:39","Book","10.1145/3628516.3655802","","",,,,,3,3.00,0,8,1,"AI recommendations influence our daily decisions. The convenience of navigating personalized content goes hand-in-hand with the notorious filter bubble effect, which may decrease people’s exposure to diverse options and opinions. Children are especially vulnerable to this due to their limited AI literacy and critical thinking skills. In this study, we propose a novel Augmented Reality (AR) application BeeTrap. It aims to not only raise children’s awareness of filter bubbles but also empower them to mitigate this ethical issue through sense-making of AI recommendation systems’ inner workings. By having children experience and break filter bubbles in a flower recommendation system, BeeTrap utilizes embodied metaphors (e.g., NEAR-FAR, ITERATION) and analogies (bee pollination) to bridge abstract AI concepts with sensory-motor experiences in familiar STEM contexts. To evaluate our design’s effectiveness and accessibility for a broad range of children, we introduced BeeTrap in a four-day summer camp for middle-school students from underrepresented backgrounds in STEM. Results from pre- and post-tests and interviews show that BeeTrap developed students’ technical understanding of AI recommendations, empowered them to break filter bubbles, and helped them foster new personal and societal perspectives around AI technologies.","",""
2,"Allison Woodruff, Annica Schjott Voneche, Kelly Thunstrom, Reena Jana, Rebecca L. Hardy, Derek R. Aoki, Patrick Gage Kelley","""Discover AI in Daily Life"": An AI Literacy Lesson for Middle School Students",2022,"Proceedings of the 54th ACM Technical Symposium on Computer Science Education V. 2","","https://www.semanticscholar.org/paper/0dc08bf5879b40b3d4f456b98b52c84238dd5cbc","",21,"2025-02-19 09:41:39","Book","10.1145/3545947.3576224","","",,,,,2,0.67,0,7,3,"We describe ""Discover AI in Daily Life"", a lesson in Google's Applied Digital Skills curriculum. The lesson introduces elements of AI literacy and is freely available online at g.co/DiscoverAI. It is designed for middle school students while also supporting high school and adult learners.","https://dl.acm.org/doi/pdf/10.1145/3545947.3576224",""
152,"Irene A. Lee, Safinah Ali, Helen Zhang, Daniella DiPaola, C. Breazeal","Developing Middle School Students' AI Literacy",2021,"Proceedings of the 52nd ACM Technical Symposium on Computer Science Education","","https://www.semanticscholar.org/paper/7699f04998490d0df2da50348d03313a0f72641a","",1,"2025-02-19 09:41:39","JournalArticle","10.1145/3408877.3432513","","",,,,,152,38.00,30,5,4,"In this experience report, we describe an AI summer workshop designed to prepare middle school students to become informed citizens and critical consumers of AI technology and to develop their foundational knowledge and skills to support future endeavors as AI-empowered workers. The workshop featured the 30-hour ""Developing AI Literacy"" or DAILy curriculum that is grounded in literature on child development, ethics education, and career development. The participants in the workshop were students between the ages of 10 and 14; 87% were from underrepresented groups in STEM and Computing. In this paper we describe the online curriculum, its implementation during synchronous online workshop sessions in summer of 2020, and preliminary findings on student outcomes. We reflect on the successes and lessons we learned in terms of supporting students' engagement and conceptual learning of AI, shifting attitudes toward AI, and fostering conceptions of future selves as AI-enabled workers. We conclude with discussions of the affordances and barriers to bringing AI education to students from underrepresented groups in STEM and Computing.","https://dl.acm.org/doi/pdf/10.1145/3408877.3432513",""
140,"Martin Kandlhofer, Gerald Steinbauer, Sabine Hirschmugl-Gaisch, Petra Huber","Artificial intelligence and computer science in education: From kindergarten to university",2016,"2016 IEEE Frontiers in Education Conference (FIE)","","https://www.semanticscholar.org/paper/ac4762a7e66d5ea068603978df42dc6b2c8c52ad","",2,"2025-02-19 09:41:39","JournalArticle","10.1109/FIE.2016.7757570","","",,,1,9,140,15.56,35,4,9,"Artificial Intelligence (AI) already plays a major role in our daily life (e.g. intelligent household appliances like robotic vacuum cleaners or AI-based applications like Google Maps, Google Now, Siri, Cortana, ...). Sound knowledge about AI and the principles of computer science will be of vast importance for future careers in science and engineering. Looking towards the near future, jobs will largely be related to AI. In this context literacy in AI and computer science will become as important as classic literacy (reading/writing). By using an analogy with this process we developed a novel AI education concept aiming at fostering AI literacy. The concept comprises modules for different age groups on different educational levels. Fundamental AI/computer science topics addressed in each module are, amongst others, problem solving by search, sorting, graphs and data structures. We developed, conducted and evaluated four proof-of-concepts modules focusing on kindergarten/primary school as well as middle school, high school and university. Preliminary results of the pilot implementations indicate that the proposed AI education concept aiming at fostering AI literacy works.","",""
126,"Helen Zhang, Irene A. Lee, Safinah Ali, Daniella DiPaola, Yihong Cheng, C. Breazeal","Integrating Ethics and Career Futures with Technical Learning to Promote AI Literacy for Middle School Students: An Exploratory Study",2022,"International Journal of Artificial Intelligence in Education","","https://www.semanticscholar.org/paper/a307bf71c7b90bb931baacb4507b4eded0c74aca","",3,"2025-02-19 09:41:39","JournalArticle","10.1007/s40593-022-00293-3","1560-4292","",,,1,35,126,42.00,21,6,3,"","https://link.springer.com/content/pdf/10.1007/s40593-022-00293-3.pdf",""
82,"Randi Williams, Safinah Ali, Nisha Devasia, Daniella DiPaola, Jenna Hong, Stephen P. Kaputsos, Brian Jordan, C. Breazeal","AI + Ethics Curricula for Middle School Youth: Lessons Learned from Three Project-Based Curricula",2022,"International Journal of Artificial Intelligence in Education","","https://www.semanticscholar.org/paper/247f883231a7e8891bfd1127dc2acc48317ac394","",4,"2025-02-19 09:41:39","JournalArticle","10.1007/s40593-022-00298-y","1560-4292","",,,1,59,82,27.33,10,8,3,"","https://link.springer.com/content/pdf/10.1007/s40593-022-00298-y.pdf",""
68,"Amy Eguchi, Hiroyuki Okada, Yumiko Muto","Contextualizing AI Education for K-12 Students to Enhance Their Learning of AI Literacy Through Culturally Responsive Approaches",2021,"Kunstliche Intelligenz","","https://www.semanticscholar.org/paper/bd6ae1e26822ae63a15efb31741db1838625052b","",5,"2025-02-19 09:41:39","JournalArticle","10.1007/s13218-021-00737-3","","",35,,153,161,68,17.00,23,3,4,"","https://link.springer.com/content/pdf/10.1007/s13218-021-00737-3.pdf",""
38,"Julie Henry, Alyson Hernalesteen, Anne-Sophie Collard","Teaching Artificial Intelligence to K-12 Through a Role-Playing Game Questioning the Intelligence Concept",2021,"KI - Künstliche Intelligenz","","https://www.semanticscholar.org/paper/2e895113eeed00d2f3ab818f6afbeaf5e51e2a76","",7,"2025-02-19 09:41:39","JournalArticle","10.1007/s13218-021-00733-7","","",35,,171,179,38,9.50,13,3,4,"","",""
