212280	Conference proceedings	Kandlhofer, Martin\Steinbauer, Gerald\Hirschmugl-Gaisch, Sabine\Huber, Petra	Artificial intelligence and computer science in education: From kindergarten to university		2016 IEEE Frontiers in Education Conference (FIE)	2016	1-9	2016	IEEE		https://doi.org/10.1109/fie.2016.7757570						Cited By (since 2016): 180				1539-4565								Query date: 2025-02-16 14:21:42 180 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85006761114&origin=inward			10.1109/fie.2016.7757570				
139693	Journal article	Ali, Safinah\DiPaola, Daniella\Lee, Irene\Sindato, Victor\Kim, Grace\Blumofe, Ryan\Breazeal, Cynthia	Children as creators, thinkers and citizens in an AI-driven future		Computers and Education: Artificial Intelligence	2	100040	2021	Elsevier BV		https://doi.org/10.1016/j.caeai.2021.100040						Cited By (since 2021): 51				2666-920X								Query date: 2025-02-16 14:21:42 51 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123988548&origin=inward			10.1016/j.caeai.2021.100040				
85152	Journal article	Henry, Julie\Hernalesteen, Alyson\Collard, Anne-Sophie	Teaching Artificial Intelligence to K-12 Through a Role-Playing Game Questioning the Intelligence Concept		KI - Künstliche Intelligenz	35(2)	171-179	2021	Springer Science and Business Media LLC		https://doi.org/10.1007/s13218-021-00733-7						Cited By (since 2021): 39				0933-1875								Query date: 2025-02-16 14:21:42 39 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85108845001&origin=inward			10.1007/s13218-021-00733-7				
64015	Conference proceedings	Lee, Irene\Zhang, Helen\Moore, Kate\Zhou, Xiaofei\Perret, Beatriz\Cheng, Yihong\Zheng, Ruiying\Pu, Grace	AI Book Club. An Innovative Professional Development Model for AI Education		Proceedings of the 53rd ACM Technical Symposium on Computer Science Education	1	202-208	2022	ACM	New York, NY, USA	https://doi.org/10.1145/3478431.3499318						Cited By (since 2022): 23												Query date: 2025-02-16 14:21:42 23 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85126104078&origin=inward			10.1145/3478431.3499318				
81977	Journal article	Zhao, Leilei\Wu, Xiaofan\Luo, Heng	Developing AI Literacy for Primary and Middle School Teachers in China: Based on a Structural Equation Modeling Analysis		Sustainability	14(21)	14549	2022	MDPI AG		https://doi.org/10.3390/su142114549				As smart technology promotes the development of various industries, artificial intelligence (AI) has also become an important driving force for innovation and transformation in education. For teachers, how to skillfully apply AI in teaching and improve their AI literacy has become a necessary goal for their sustainable professional development. This research examines the correlations among the dimensions of AI literacy of teachers in order to promote the effectiveness of class teaching and the adoption of artificial intelligence literacy (AIL). Our findings are based on the analysis of 1013 survey results, where we tested the level of AI literacy of teachers, including Knowing and Understanding AI (KUAI), Applying AI (AAI), Evaluating AI Application (EAIA), and AI Ethics (AIE). We find that AAI had a significant, positive effect on the other three dimensions. Thus, based on the analysis, the government should take action to cultivate teachers’ AI literacy. In order to improve teachers’ AI literacy, the choice of curriculum, content, methods, and practical resources for special training should be diverse and committed to making AI literacy an essential enabler for teachers’ sustainable future development.		Cited By (since 2022): 43				2071-1050								Query date: 2025-02-16 14:21:42 43 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85142158763&origin=inward			10.3390/su142114549				
266052	Conference proceedings	Yau, King Woon\Chai, Ching Sing\Chiu, Thomas K. F.\Meng, Helen\King, Irwin\Wong, Savio Wai-Ho\Saxena, Chandni\Yam, Yeung	Developing an AI literacy test for junior secondary students: The first stage		2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)		59-64	2022	IEEE		https://doi.org/10.1109/tale54877.2022.00018						Cited By (since 2022): 6												Query date: 2025-02-16 14:21:42 6 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85163883688&origin=inward			10.1109/tale54877.2022.00018				
235357	Conference proceedings	Kumar, Amit\Tian, Xiaoyi\Celepkolu, Mehmet\Israel, Maya\Boyer, Kristy Elizabeth	Early Design of a Conversational AI Development Platform for Middle Schoolers		2022 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	2022	1-3	2022	IEEE		https://doi.org/10.1109/vl/hcc53370.2022.9833129						Cited By (since 2022): 5				1943-6092								Query date: 2025-02-16 14:21:42 5 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85148746001&origin=inward			10.1109/vl/hcc53370.2022.9833129				
83015	Conference proceedings	Drivas, Thanassis\Doukakis, Spyridon	Introducing the Fundamentals of Artificial Intelligence to K-12 Classrooms According to Educational Neuroscience Principles		2022 7th South-East Europe Design Automation, Computer Engineering, Computer Networks and Social Media Conference (SEEDA-CECNSM)		1-7	2022	IEEE		https://doi.org/10.1109/seeda-cecnsm57760.2022.9932989				The rise of Artificial Intelligence (AI) has brought to the fore the need to educate students about AI. The aim is not to keep AI a black box and at the same time to be recognized as a transferable literacy with multiple learning benefits per age group of students. In order to strengthen this perspective, the design of workshops to introduce the basics of artificial intelligence to middle school students according to educational neuroscience principles is presented. With these workshops, the importance of AI literacy is emphasized, and students are given space for hands-on activities. The proposals are based on the axes of perception, representation and reasoning, learning, physical interaction, and social impact and include sections on Introduction to Machine Learning, Machine Learning Application Examples, Supervised Learning, and Training-Test Processes, Unsupervised Learning, and Machine Learning Algorithms.																	10.1109/seeda-cecnsm57760.2022.9932989				
268366	Journal article		Proceedings - 2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering, TALE 2022		Proceedings - 2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering, TALE 2022			2022			https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85163834334&origin=inward\https://api.elsevier.com/content/abstract/scopus_id/85163834334																		Query date: 2025-02-16 14:21:42							
278285	Unused	Tseng, Ying Jui\Yadav, Gautam	ActiveAI: Introducing AI Literacy for Middle School Learners with Goal-based Scenario Learning		arXiv (Cornell University)			2023			https://lens.org/054-934-019-990-090				The ActiveAI project addresses key challenges in AI education for grades 7-9 students by providing an engaging AI literacy learning experience based on the AI4K12 knowledge framework. Utilizing learning science mechanisms such as goal-based scenarios, immediate feedback, project-based learning, and intelligent agents, the app incorporates a variety of learner inputs like sliders, steppers, and collectors to enhance understanding. In these courses, students work on real-world scenarios like analyzing sentiment in social media comments. This helps them learn to effectively engage with AI systems and develop their ability to evaluate AI-generated output. The Learning Engineering Process (LEP) guided the project's creation and data instrumentation, focusing on design and impact. The project is currently in the implementation stage, leveraging the intelligent tutor design principles for app development. The extended abstract presents the foundational design and development, with further evaluation and research to be conducted in the future.																	10.48550/arxiv.2309.12337				
39119	Journal article	Ali, Safinah\Kumar, Vishesh\Breazeal, Cynthia	AI Audit: A Card Game to Reflect on Everyday AI Systems		Proceedings of the AAAI Conference on Artificial Intelligence	37(13)	15981-15989	2023	Association for the Advancement of Artificial Intelligence (AAAI)		https://doi.org/10.1609/aaai.v37i13.26897				An essential element of K-12 AI literacy is educating learners about the ethical and societal implications of AI systems. Previous work in AI ethics literacy have developed curriculum and classroom activities that engage learners in reflecting on the ethical implications of AI systems and developing responsible AI. There is little work in using game-based learning methods in AI literacy. Games are known to be compelling media to teach children about complex STEM concepts. In this work, we developed a competitive card game for middle and high school students called “AI Audit” where they play as AI start-up founders building novel AI-powered technology. Players can challenge other players with potential harms of their technology or defend their own businesses by features that mitigate these harms. The game mechanics reward systems that are ethically developed or that take steps to mitigate potential harms. In this paper, we present the game design, teacher resources for classroom deployment and early playtesting results. We discuss our reflections about using games as teaching tools for AI literacy in K-12 classrooms.		Cited By (since 2023): 6												Query date: 2025-02-16 14:21:42 6 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85168239608&origin=inward			10.1609/aaai.v37i13.26897				
